Product id,Product company,Product category,price/value,stars,Product name
B09MYSWLGT,SUNHZ MCKP,Tools & Home Improvement ,39.99,4.7,SUNHZMCKP Magnetic Screwdriver Set 66-Piece
B07WQGFY3G,WORKPRO,Tools & Home Improvement ,59.99,4.7,WORKPRO 12V Cordless Drill and Home Tool Kit
B0B3WTS82D,DEKOPRO,Tools & Home Improvement ,59.99,4.6,DEKOPRO 126 Piece Power Tool Combo Kits with 8V Cordless Drill
B00DQH1K2Q,DEWALT,Tools & Home Improvement ,137.36,4.8,DEWALT Oscillating Tool
B092RM6HJF,Craftsman,Tools & Home Improvement ,89.0,4.7,CRAFTSMAN V20 Cordless Multi-Tool
B08ZMZV2WR,AXELECT,Automotive ,9.99,4.7,AXELECT 3 Pcs Clip Remover Tool
B08L41ZNFJ,Craftsman,Tools & Home Improvement ,9.97,4.7,CRAFTSMAN Magnetic Sweeper (CMMT98276)
B087P5GKFK,PLATINUMEDGE,Tools & Home Improvement ,24.07,4.6,PLATINUMEDGE Bolt Extractor Tool Set
B0CCQ5K76S,POCIONE,Tools & Home Improvement ,7.99,4.4,Right Angle Screwdriver Mens Gifts - 90 Degree Offset Ratcheting Screwdriver Pocket Mini Low Profile Ratchet Wrench Bit Socket Set for Tight Space Cool Gadgets EDC Gear Tool Stocking Stuffers for Men
B0B4ZJHGVK,Wareon,Tools & Home Improvement ,8.99,4.4,Super Universal Socket Tools Gifts for Men - Stocking Stuffers for Him Adults
B09FK5QFTR,KOOPOOL,Industrial & Scientific ,35.99,4.6,Telescoping Magnetic Pickup Tool Set-Extendable Magnet Flashlight with Inspection Mirror
B0CCP53TZR,LWWTBS,Tools & Home Improvement ,9.99,4.5,Super Universal Socket Tools Gifts for Men Christmas Gifts Stocking Stuffers for Men Universal Socket Power Drill Adapter(7-19 MM) Cool Tools Gadgets for Men Birthday Gifts for Women Dad Husband
B095P753JN,WETOLS,Tools & Home Improvement ,10.52,4.3,WETOLS Corner Clamp
B009G48D3M,Milwaukee,Tools & Home Improvement ,1889.99,4.7,"Milwaukee 2473-22 M12 Force Logic Press tool 1/2"" - 1"" Kit"
B07VV55Q7F,DTAPE,Tools & Home Improvement ,25.9,4.5,Laser Measure 165ft DT50 Laser Distance Meter 50M
