,Review Title,Review Content,Stars
0,Value for money. ,I am very pleased with this purchase. Previously I bought a simple set of coloured bands graded for resistance but they were very small and perished quickly. This kit was more obey but well worth it. ,5 stars
1,Fitness bands,Good product bought for my wife she's very pleased 😀with it used daily easy to use.,5 stars
2,Good equipment and great price.,Quality is good and for the price well worth it. ,5 stars
3,Great value for money,"Purchased this for a friend in a wheel chair with FA. Limited legs and arms movement, so this device helps her to keep working her limbs every day. Perfect for her daily workout. ",5 stars
4,Good stuff,Worked a treat and my partner has really made use of them.,4 stars
5,Exercise band,Very happy with this Elastic band you can do loads of exercise with this band very cheap a big thumbs up from me ,5 stars
6,Good product ,Made well and easy to use,3 stars
7,Great ,"Great product, great value. 5 stars all day.",5 stars
8,Great value product.,A good quality product. Well presented.,5 stars
9,Dies the job,Decent product and nice range of strengths.,5 stars
10,Disappointed ,Using them for the second time and the handles have snapped. Very poor quality stitching on the straps. ,1 stars
11,Resistance bands ,Cheap and brilliant for getting fitter ,5 stars
12,Exercise bands ,"Early days, time will tell if it does me any good 😀",5 stars
13,Elastic band d,Very pleased good product thank you regards Jason,5 stars
14,Alright ,The product is alright. I used it and it served.,4 stars
15,Good quality for money,Excellent value for money,4 stars
16,good price. not really good quality,good price. not really good quality. no resistance at all,3 stars
17,Not used yet.,Hoping that this will enable me to get fitter.,4 stars
18,Resistance bands,Very good product at a good price,5 stars
19,Recommended,"Great product, It just works for the price.",5 stars
20,Resistance bands,Great resistance bands with different size bands and door frame anchor and handles.,5 stars
21,Good quality,Good quality and value for money,5 stars
22,Fitness bands,Excellent product,5 stars
23,Good,Good product ,5 stars
24,Great thank you,Great thank you,5 stars
25,bands,Quite happy with them ,4 stars
26,very good exactly what i needed thanks,very good exactly what i needed thanks,5 stars
27,Not much use.,Adequate  instructions.,2 stars
28,Brilliant ,Like the this product,5 stars
29,great value and quality,All aspects of the contents are 100% quality,5 stars
30,Ty. Very Happy. ,very flimsy not strong ,5 stars
31,cheap product,worth the money,1 stars
32,worth the money,Good,5 stars
33,Good,,5 stars
34,Exercise equipment ,,4 stars
