,Review Title,Review Content,Stars
0,Perfect Bridge to view security cameras remotely!!,"Rather than purchasing Arlo  remote viewing services per month:  This Home Pod Mini device works with the iPhone ""Home"" app as a bridge so that remote viewing of my Arlo Ultra security cameras are available without additional cost!  It works GREAT!  I'm SO pleased to have remote access to my cameras at no additional monthly cost!  Yes, Siri has MANY more options for usage but for the moment, I'm pleased with just the bridge option.  If your considering the same usage, be sure to check the compatibility of your Arlo Hub with the Home Pod Mini.  I'm using a VMB5000 Arlo Hub, which is compatible.Read full review...",5 stars
1,Poor sound quality ,I have a new one directly from apple the store.This used / refurbished sound quality is poor & not the same as new 1000%& I had to do a hard resetCodes didn't work & smoke & mirrors,1 stars
2,Easy set up. easy to use. Get 2 for stereo,"I play it mostly as low level background but it plays loud also. Seems like it has software loudness correction that is well done. Well controlled. Not boomy. It can articulate the sound of picks on strings and different types of cymbal strikes. Where the drumstick hitting cymbal not just the crash. Obviously sound out depends on source quality. Very reasonable compromise of physical size, sound quality and ease of use. I have spent extended periods of time listening to systems that cost as much as new cars and I enjoy listening to music through the homepods.Read full review...",5 stars
3,"Great product, Sounds awesome, looks brand new. Best sounding smart speaker I have.","HomePod was in good shape. Opening the package I noticed a corner of the HomePod packaging was damaged (slightly). Thankfully the product was fine at first inspection. The box wasn’t in the original plastic wrap (as it is used). It came in the original box and had the instructions pack without the Apple sticker. Plugging it in I didn’t get the welcome message from Siri. The first thing it said was it can’t connect to the internet. It also wouldn’t connect to my phone (like it should out of the box). I had to factory reset the HomePod to connect to it. After finally connecting to it (and updating it) I got to hear this HomePod for the first time. I do have another HomePod that I purchase new and compared it to it. I must say It sounded just as great as the other one that I bought new.My only complaints would be is that it wasn’t factory reset as the description indicated. Being tech savvy it wasn’t that huge a deal and was easy to reset.Overall I’m very happy this purchase, it’s sounds good and works as it was intended. I would definitely by this product again!Read full review...",5 stars
4,"Homebod, is just not another fancy speaker.. it is new expe","very nice to have such product in home..I thought it was just a new fancy speaker with high quality sound... it turned out to be a very fine digital immersion experience, kids immediately got used to this and using Siri in a way I never thought possible :-)I'm considering having new homebods for other rooms and halls in my house...Read full review...",5 stars
5,Apple HomePod - A Great Speaker!,"I have a Samsung smart TV but the sound is absolutely AWFUL. Have debated and put off purchasing a sound at for years. I’m neck deep in the Apple ecosystem so read up on the HomePod and HomePod mini. Even though it is now discontinued, I decided to give it a shot. I am a happy owner! I now have a tv with really terrific sound and listening to music is awesome. It is not a cheap solution. But the quality, ease of use, style and size make it a win for me. I’m glad that made the purchase!Read full review...",5 stars
6,The best shop,I already had two HomePods (1 in living room and another one in the bedroom) and decided to get the 3rd to pair it in stereo mode in the living room. I paid full price for the first two and i know how they come packed and this is where the difference is.  It comes packed in the original box a little stressed and in the inside forget about everything nicely packed. The Pod itself comes inside a cheap plastic bag that comes inside the stressed original box and no documents at all. All of that i really don’t care at all since the important thing is absolutely clean and new. The HomePod i received was in a mint condition and even when it didn’t come with the plastic sticker on top of it there was no sign of use. I am very happy with my purchase and absolutely regret my other two purchases in the store. I absolutely recommend this!It arrived one day before.Read full review...,5 stars
7,Great sound in a small form,"The original HomePod is expensive, but I wouldn't call it overpriced for the sound quality and with the integration that it has. One sounds impressive for the size, two together sound impossibly full without a subwoofer. They automatically sync up with AppleTV to remove video/audio latency, and you can pause/roll back/etc with ""hey Siri"". Looks great anywhere too. One annoyance is that you can't AirPlay video from another device to the AppleTV and then have the audio forward on to the HomePod.Read full review...",5 stars
8,Rich sound in a small package....,"Bought this speaker for a very small home office - wanted something that could fill the room with rich sound without taking up much space, and this fit the bill. I own an iMac, and made the HomePod the default speaker so now anything I stream or watch on the computer sounds great. Only complaint is Siri needs work on it's comprehension skills - occasionally it gives me a song that is completely different than what I requested, and repeated efforts to get Siri to understand me can be frustrating. Hopefully over time Siri will get smarter...Read full review...",5 stars
9,Excellent product / excellent seller,"The HomePod is amazing. This is my second one and for a barely used one you can’t beat the price. The sound quality is absolutely amazing and with AirPlay and Siri it’s so easy to listen to music, podcasts etc.Read full review...",5 stars
